provider_id,first_name,last_name,specialty,facility_id,npi
PROV0001,Danielle,Johnson,Emergency Medicine,FAC007,5156895072
PROV0002,Joshua,Walker,Endocrinology,FAC008,4487305411
PROV0003,Jill,Rhodes,Psychiatry,FAC005,5416362949
PROV0004,Patricia,Miller,Psychiatry,FAC002,8727381279
PROV0005,Robert,Johnson,Emergency Medicine,FAC001,1277360511
PROV0006,Jeffery,Wagner,Internal Medicine,FAC002,3531104054
PROV0007,Anthony,Gonzalez,Internal Medicine,FAC002,6957248632
PROV0008,Debra,Gardner,Obstetrics & Gynecology,FAC006,3045148496
PROV0009,Jeffrey,Lawrence,Emergency Medicine,FAC001,7346488407
PROV0010,Lisa,Smith,Endocrinology,FAC005,8242879217
PROV0011,Linda,Wolfe,Emergency Medicine,FAC006,9722587396
PROV0012,Matthew,Moore,Radiology,FAC005,5261404609
PROV0013,Susan,Rogers,Endocrinology,FAC002,1574355304
PROV0014,Christopher,Davis,Emergency Medicine,FAC007,6087124958
PROV0015,Melanie,Munoz,Obstetrics & Gynecology,FAC006,2388605428
PROV0016,Lindsay,Blair,Obstetrics & Gynecology,FAC006,7884989716
PROV0017,Amanda,Dudley,Radiology,FAC002,6848619413
PROV0018,Nicholas,Arnold,Psychiatry,FAC001,5635514163
PROV0019,Maria,Montgomery,Psychiatry,FAC008,6934803712
PROV0020,Michelle,Ray,Obstetrics & Gynecology,FAC004,1524724675
PROV0021,Janet,Williams,Emergency Medicine,FAC003,6712464880
PROV0022,Jeremy,Roberts,Obstetrics & Gynecology,FAC004,3105455372
PROV0023,Christopher,Hall,Psychiatry,FAC006,3713608802
PROV0024,Craig,Ramirez,Endocrinology,FAC008,7501234155
PROV0025,Cynthia,Diaz,Psychiatry,FAC003,3594952935
PROV0026,Mitchell,Clark,Emergency Medicine,FAC008,6288801149
PROV0027,Joseph,Zuniga,Psychiatry,FAC001,8436627317
PROV0028,Deborah,Lynch,General Surgery,FAC005,6672543338
PROV0029,George,Daniel,Internal Medicine,FAC006,3792913056
PROV0030,Frank,Gray,Radiology,FAC001,3303685815
PROV0031,Veronica,Bowman,Radiology,FAC002,5509402975
PROV0032,Angela,Cohen,Radiology,FAC004,2030770661
PROV0033,Megan,Parsons,Obstetrics & Gynecology,FAC008,4930456503
PROV0034,Jeremy,Johnson,Internal Medicine,FAC005,2300717699
PROV0035,Leslie,Adams,Internal Medicine,FAC008,1336713005
PROV0036,Jason,Hahn,Radiology,FAC007,7948111888
PROV0037,Nancy,Edwards,Psychiatry,FAC004,4742266619
